concordiastpaul-sheet2-row13-col03,:concordia(mnst.paul): Concordia (MN-St.Paul),,,
mary-sheet2-row13-col04,:mary: Mary,,,
minnesotacrookston-sheet2-row13-col05,:minnesotacrookston: Minnesota-Crookston,,,
minnesotaduluth-sheet2-row13-col06,:minnesotaduluth: Minnesota-Duluth,,,
minotstate-sheet2-row13-col07,:minotstate: Minot State,,,
mankatostate-sheet2-row13-col08,:msumankato: MSU-Mankato,,,
minnesotastatemoorhead-sheet2-row13-col09,:msumoorhead: MSU-Moorhead,,,
northernstate-sheet2-row13-col10,:northernstate: Northern State,,,
siouxfalls-sheet2-row13-col11,:siouxfalls: Sioux Falls,,,
southwestminnesotastate-sheet2-row13-col12,:southwestminnesota: Southwest Minnesota,,,
stcloudstate-sheet2-row13-col13,:st.cloudstate: St. Cloud State,,,
upperiowa-sheet2-row13-col14,:upperiowa: Upper Iowa,,,
waynestate-sheet2-row13-col15,:waynestate(ne): Wayne State (NE),,,
winonastate-sheet2-row13-col16,:winonastate: Winona State,,,
bloomsburg-sheet2-row14-col01,:bloomsburg: Bloomsburg,,,
californiapa-sheet2-row14-col02,:california(pa): California (PA),,,
clarion-sheet2-row14-col03,:clarion: Clarion,,,
eaststroudsburg-sheet2-row14-col04,:eaststroudsburg: East Stroudsburg,,,
edinboro-sheet2-row14-col05,:edinboro: Edinboro,,,
gannon-sheet2-row14-col06,:gannon: Gannon,,,
indianapa-sheet2-row14-col07,:indiana(pa): Indiana (PA),,,
kutztown-sheet2-row14-col08,:kutztown: Kutztown,,,
lockhaven-sheet2-row14-col09,:lockhaven: Lock Haven,,,
mercyhurst-sheet2-row14-col10,:mercyhurst: Mercyhurst,,,
millersville-sheet2-row14-col11,:millersville: Millersville,,,
setonhill-sheet2-row14-col12,:setonhill: Seton Hill,,,
shippensburg-sheet2-row14-col13,:shippensburg: Shippensburg,,,
slipperyrock-sheet2-row14-col14,:slipperyrock: Slippery Rock,,,
westchester-sheet2-row14-col15,:westchester: West Chester,,,
adamsstate-sheet2-row15-col01,:adamsstate: Adams State,,,
blackhillsstate-sheet2-row15-col02,:blackhillsstate: Black Hills State,,,
chadronstate-sheet2-row15-col03,:chadronstate: Chadron State,,,
coloradomesa-sheet2-row15-col04,:coloradomesa: Colorado Mesa,,,
coloradomines-sheet2-row15-col05,:coloradomines: Colorado Mines,,,
csupueblo-sheet2-row15-col06,:csupueblo: CSU-Pueblo,,,
dixiestate-sheet2-row15-col07,:dixiestate: Dixie State,,,
fortlewis-sheet2-row15-col08,:fortlewis: Fort Lewis,,,
newmexicohighlands-sheet2-row15-col09,:newmexicohighlands: New Mexico Highlands,,,
southdakotamines-sheet2-row15-col10,:southdakotamines: South Dakota Mines,,,
westernstate-sheet2-row15-col11,:westernstatecolorado: Western State Colorado,,,
albanystate-sheet2-row16-col01,:albanystate: Albany State,,,
benedict-sheet2-row16-col02,:benedict: Benedict,,,
centralstate-sheet2-row16-col03,:centralstate: Central State,,,
clarkatlanta-sheet2-row16-col04,:clarkatlanta: Clark Atlanta,,,
